Date,Open,High,Low,Close,Volume,Adj Close
2011-12-21,5918.72,5965.35,5771.62,5791.53,29979400,5791.53
2011-12-20,5652.61,5847.71,5637.53,5847.03,27147600,5847.03
2011-12-19,5651.74,5775.24,5644.19,5670.71,22079300,5670.71
2011-12-16,5764.45,5775.00,5693.41,5701.78,67660200,5701.78
2011-12-15,5713.48,5795.87,5682.16,5730.62,31639100,5730.62
2011-12-14,5738.98,5771.60,5675.14,5675.14,33441100,5675.14
2011-12-13,5801.39,5852.43,5734.12,5774.26,30398500,5774.26
2011-12-12,5945.19,5952.55,5785.43,5785.43,31442300,5785.43
2011-12-09,5806.49,6007.05,5802.36,5986.71,34722300,5986.71
2011-12-08,6054.56,6077.17,5868.63,5874.44,36845900,5874.44
2011-12-07,6116.26,6137.05,5919.56,5994.73,32189300,5994.73
2011-12-06,6021.73,6094.77,6005.82,6028.82,37175200,6028.82
2011-12-05,6137.87,6170.04,6086.42,6106.09,31904300,6106.09
2011-12-02,6117.73,6169.64,6055.48,6080.68,36316300,6080.68
2011-12-01,6080.48,6111.97,6017.38,6035.88,33757700,6035.88
2011-11-30,5741.21,6130.68,5725.98,6088.84,54927900,6088.84
2011-11-29,5725.68,5826.35,5690.57,5799.91,28463200,5799.91
2011-11-28,5577.19,5754.51,5573.00,5745.33,33258600,5745.33
2011-11-25,5433.30,5528.64,5366.50,5492.87,23161100,5492.87
2011-11-24,5512.77,5563.77,5399.90,5428.15,000,5428.15
2011-11-23,5485.67,5588.11,5457.77,5457.77,34499500,5457.77
2011-11-22,5648.50,5681.74,5537.39,5537.39,27129100,5537.39
2011-11-21,5767.09,5771.70,5598.05,5606.00,32730600,5606.00
2011-11-18,5800.79,5897.99,5769.69,5800.24,30460700,5800.24
2011-11-17,5875.86,5921.25,5778.10,5850.17,31285500,5850.17
2011-11-16,5873.29,6028.23,5852.04,5913.36,28104800,5913.36
2011-11-15,5920.43,6011.47,5815.85,5933.14,30809600,5933.14
2011-11-14,6097.27,6116.07,5934.09,5985.02,26255000,5985.02
2011-11-11,5881.49,6065.29,5855.12,6057.03,30712700,6057.03
2011-11-10,5732.32,5934.31,5721.97,5867.81,37153400,5867.81
2011-11-09,6045.87,6055.58,5767.26,5829.54,41995700,5829.54
2011-11-08,5950.44,6087.06,5934.23,5961.44,28072000,5961.44
2011-11-07,5905.93,6028.59,5835.09,5928.68,31556100,5928.68
